birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,edu_other,edu_status,edu_yr,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,id,inc_ability,inc_exp,income,invest_other,join_party,learn,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,minor_child,nationality,neighbor_familiarity,political,property_other,province,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_time,survey_type,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,public_service,trust,invest,insur,leisure,media,property
1939,2,7,1,1,7,4,14,4,1,3,,2.0,,3,1916,1,1,2,90000.0,2,3,56.0,2,2.0,1,1,156,1,5,1.0,14,2,40000.0,40000,,,1,1917,1,1,2,3,1957.0,1957.0,0.0,1,3,1,,4,2,1,1,1940.0,4.0,5.0,50000.0,4.0,5.0,,,1,,,1,0,3,2,2015/10/18 16:03,1,3,115,5,,,,,645.0,35,1,6,59,7,1
1935,2,41,2,3,1,-8,72,1,-8,1,,,,5,-2,-8,1,2,30000.0,4,3,40.0,2,4.0,1,-8,136,1,1,1.0,15,2,50000.0,1000,,,1,-2,-8,1,2,3,1960.0,1960.0,0.0,1,5,1,,15,1,0,4,1936.0,1.0,1.0,9000.0,1.0,4.0,,,1,3.0,5.0,3,0,2,3,2015/7/15 15:05,2,3,65,4,,,,,300.0,15,1,4,59,6,1
1983,2,82,6,-8,3,5,124,0,3,4,,2.0,1998.0,4,1945,1,1,2,50000.0,5,3,120.0,1,4.0,4,5,185,1,1,1.0,16,2,60000.0,45000,,,1,1945,3,1,15,3,2013.0,2013.0,1.0,1,5,1,,29,4,1,1,1987.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1,7.0,5.0,3,1,1,2,2015/7/22 14:46,2,5,185,1,3.0,3.0,1.0,8.0,718.0,24,1,5,46,17,1
1974,2,16,5,6,4,3,32,0,3,4,,4.0,1989.0,2,1932,-8,1,2,36000.0,3,3,63.0,2,4.0,2,3,162,1,1,3.0,17,2,20000.0,0,,,2,-2,1,1,2,3,2000.0,2000.0,0.0,1,2,2,,6,4,0,4,1977.0,5.0,2.0,36000.0,1.0,1.0,3.0,1.0,1,3.0,6.0,2,1,2,2,2015/8/10 10:41,1,3,120,5,,,,,660.0,39,1,7,40,17,2
1962,2,87,1,1,1,1,131,2,3,6,,4.0,1979.0,2,1922,4,1,2,20000.0,1,3,90.0,2,4.0,2,2,155,1,1,1.0,18,2,50000.0,0,,,2,1922,3,1,2,3,1985.0,1985.0,0.0,1,5,1,,31,4,0,8,1960.0,4.0,1.0,20000.0,1.0,3.0,,,2,2.0,1.0,3,0,1,2,2015/8/17 9:52,2,4,90,3,,,,,420.0,49,1,4,45,14,2
1976,1,7,6,5,6,4,16,0,5,7,,4.0,1998.0,4,1945,4,1,1,200000.0,5,3,77.0,1,4.0,5,5,170,1,4,3.0,19,2,10000000.0,100000,,,3,1945,1,1,2,3,2006.0,2006.0,1.0,1,4,1,,4,3,1,1,1980.0,7.0,5.0,50000.0,1.0,1.0,3.0,1.0,4,4.0,4.0,3,1,2,2,2015/10/18 10:28,1,3,135,1,2.0,2.0,1.0,17.0,640.0,45,1,6,31,24,1
1965,1,7,6,6,5,3,22,1,5,4,,4.0,1981.0,4,1939,3,1,1,100000.0,4,3,91.0,1,5.0,5,5,175,2,2,1.0,20,2,120000.0,100000,,1998.0,4,1944,4,1,2,3,1986.0,1986.0,0.0,1,5,4,,4,4,1,1,1963.0,4.0,2.0,0.0,1.0,4.0,,,3,3.0,5.0,4,1,1,2,2015/9/11 9:54,1,3,160,1,1.0,2.0,1.0,8.0,570.0,52,1,6,29,23,1
1951,2,79,3,3,3,3,119,0,3,4,,4.0,1967.0,2,1929,2,4,1,80000.0,5,2,71.0,1,4.0,2,2,165,1,2,1.0,21,2,60000.0,25000,,,1,1929,2,1,1,3,1976.0,1976.0,0.0,3,4,1,,27,4,1,1,1953.0,4.0,2.0,20000.0,1.0,5.0,,,1,5.0,1.0,3,1,2,2,2015/7/25 9:34,1,5,130,5,,,,,480.0,-7,1,6,46,13,1
1948,1,21,1,4,1,1,43,3,2,1,,,,4,-2,1,1,2,20000.0,6,3,100.0,2,5.0,1,2,160,1,1,1.0,22,2,1000.0,2000,,,1,-2,1,1,2,3,1970.0,1970.0,0.0,1,5,1,,9,3,1,1,1949.0,3.0,1.0,4000.0,1.0,3.0,,,2,7.0,3.0,2,1,3,3,2015/7/5 8:08,2,4,120,4,,,,,900.0,-9,1,6,52,9,1
1980,2,62,5,6,4,1,98,1,3,3,,4.0,1992.0,4,1952,3,1,2,40000.0,5,2,220.0,2,4.0,4,4,154,1,1,2.0,23,3,-2.0,5000,,,1,1963,1,1,15,3,2003.0,2003.0,2.0,1,3,1,,21,3,1,1,1982.0,4.0,1.0,30000.0,1.0,3.0,,,1,2.0,1.0,4,1,2,2,2015/7/18 10:53,1,4,90,4,,,,,500.0,26,1,6,49,7,1
1942,2,57,7,7,5,3,92,1,3,6,,2.0,-2.0,4,-2,1,1,2,48000.0,1,3,80.0,1,4.0,3,3,172,0,4,1.0,24,-8,-2.0,48000,,,1,-2,1,1,-8,3,1967.0,1967.0,0.0,1,2,1,,19,4,1,1,1946.0,4.0,5.0,0.0,1.0,5.0,,,1,5.0,5.0,2,1,1,1,2015/7/17 10:01,1,3,120,5,,,,,740.0,-1,1,6,50,15,1
1956,2,32,4,6,4,2,58,1,5,6,,4.0,1979.0,1,1918,3,1,1,90000.0,3,3,63.0,1,4.0,4,5,165,1,2,1.0,25,-8,-2.0,-1,,,4,-2,-8,1,5,3,1960.0,1960.0,0.0,1,2,1,,12,4,1,1,1938.0,6.0,5.0,50000.0,4.0,1.0,3.0,1.0,3,2.0,6.0,2,0,2,2,2015/9/2 19:10,1,4,65,5,,,,,640.0,1,1,6,37,17,1
1970,2,76,3,3,3,2,116,0,4,4,,4.0,1984.0,4,1950,3,1,2,60000.0,2,2,80.0,2,4.0,4,4,156,1,2,1.0,26,2,80000.0,20000,,,3,1953,3,1,2,3,1993.0,1993.0,0.0,1,2,1,,26,3,1,1,1967.0,4.0,2.0,30000.0,1.0,1.0,2.0,1.0,2,2.0,2.0,3,1,2,2,2015/10/17 17:15,1,3,100,1,4.0,2.0,1.0,26.0,793.0,52,1,7,36,11,1
1966,2,48,6,4,8,3,80,2,3,4,,4.0,1984.0,4,1934,12,4,1,100000.0,1,3,117.0,2,5.0,4,5,161,2,1,2.0,27,2,30000.0,19200,,,2,1937,1,1,2,3,1988.0,1968.0,0.0,1,3,1,,17,4,1,1,1968.0,6.0,1.0,100000.0,1.0,1.0,2.0,1.0,1,3.0,2.0,3,0,2,2,2015/7/30 10:11,1,4,126,5,,,,,311.0,29,1,6,36,14,1
1963,2,88,5,5,3,3,133,0,3,4,,4.0,1979.0,4,1938,7,1,1,20000.0,2,2,79.0,2,4.0,3,3,158,1,2,1.0,28,2,30000.0,10000,,,1,1943,3,1,1,3,1985.0,1985.0,0.0,1,3,1,,31,3,1,1,1962.0,5.0,2.0,10000.0,4.0,1.0,5.0,1.0,6,5.0,5.0,3,1,1,3,2015/8/19 20:02,1,4,140,5,,,,,720.0,40,1,7,42,17,1
1992,2,7,4,7,1,3,19,0,3,10,,4.0,2013.0,2,1970,5,1,9,40000.0,1,2,140.0,1,3.0,4,4,183,0,1,3.0,29,2,200000.0,40000,,,4,1971,3,1,5,1,,,,1,2,2,,4,4,1,1,,,,,,,,,6,2.0,7.0,4,0,1,2,2015/10/3 18:47,1,2,135,1,2.0,5.0,2.0,4.0,480.0,28,1,6,38,19,1
1947,2,53,4,6,3,3,87,1,3,1,,,,4,1920,1,1,2,40000.0,2,2,80.0,1,5.0,2,2,168,1,1,1.0,30,2,6000.0,3000,,,1,1922,1,1,2,3,1976.0,1976.0,0.0,1,5,1,,18,4,1,1,1954.0,1.0,1.0,1000.0,1.0,3.0,,,3,2.0,2.0,4,2,1,3,2015/7/15 15:24,2,4,110,3,,,,,713.0,36,1,6,55,8,1
1979,1,7,6,8,4,-8,21,0,3,11,,4.0,-2.0,4,1941,4,1,1,170000.0,2,3,57.0,1,4.0,4,4,171,1,2,1.0,31,3,120000.0,80000,,,3,1948,4,1,1,3,2012.0,2012.0,,1,4,1,,4,3,1,2,1987.0,10.0,2.0,110000.0,1.0,1.0,2.0,1.0,2,6.0,6.0,2,0,1,2,2015/9/19 15:26,1,3,146,1,3.0,3.0,1.0,17.0,510.0,10,1,6,39,15,1
1965,2,80,5,7,3,3,120,0,4,4,,2.0,1980.0,4,1942,4,1,2,40000.0,2,4,90.0,2,4.0,4,4,175,1,2,3.0,32,2,60000.0,20000,,,2,1939,4,1,15,3,1984.0,1984.0,0.0,1,3,1,,27,2,1,1,1963.0,4.0,2.0,20000.0,1.0,1.0,6.0,1.0,2,4.0,3.0,2,1,1,2,2015/7/29 12:25,1,4,100,1,2.0,6.0,1.0,-2.0,580.0,18,1,7,47,12,1
1926,2,7,10,10,10,5,20,3,2,12,,4.0,1958.0,4,-2,3,1,2,150000.0,3,4,70.0,1,4.0,2,2,170,1,2,1.0,33,2,150000.0,100000,,,1,-2,1,1,2,3,1947.0,1947.0,0.0,1,5,1,,4,5,1,1,1928.0,3.0,2.0,30000.0,1.0,5.0,,,1,,,1,2,2,1,2015/10/1 10:12,1,3,120,5,,,,,720.0,39,1,7,51,9,1
1987,2,46,5,9,2,7,77,0,4,4,,4.0,2002.0,3,1965,3,1,1,150000.0,2,2,240.0,2,4.0,5,4,168,0,1,1.0,34,2,100000.0,150000,,,3,1967,2,1,1,3,2005.0,2005.0,2.0,1,2,1,,16,3,1,1,1987.0,4.0,1.0,10000.0,1.0,1.0,2.0,2.0,-8,3.0,3.0,3,2,1,2,2015/7/27 19:24,1,3,98,1,4.0,1.0,1.0,8.0,565.0,43,1,7,33,19,1
1937,2,21,4,-8,5,3,43,1,3,1,,,,4,-2,2,1,2,10000.0,2,2,40.0,2,4.0,2,3,150,1,1,1.0,35,2,-2.0,660,,-2.0,1,-2,1,1,2,3,1963.0,1963.0,0.0,1,5,4,,9,3,0,3,1941.0,4.0,1.0,10000.0,1.0,3.0,,,1,7.0,7.0,2,3,2,3,2015/7/6 9:44,2,3,80,4,,,,,700.0,13,1,6,52,9,2
1957,2,39,2,3,2,-8,70,1,3,4,,4.0,1972.0,4,-2,2,1,-8,30000.0,1,3,25.0,1,4.0,4,3,172,1,1,3.0,36,-8,36000.0,20000,,,1,-2,1,1,-8,3,1982.0,1982.0,1.0,1,3,1,,15,4,1,1,1957.0,4.0,1.0,10000.0,1.0,3.0,,,6,5.0,2.0,3,1,2,2,2015/7/10 19:22,1,3,150,1,3.0,4.0,1.0,35.0,290.0,39,1,6,52,13,1
1969,2,8,6,6,5,3,23,1,4,-8,,4.0,-3.0,2,-2,3,1,2,80000.0,2,4,70.0,2,4.0,5,4,165,1,2,1.0,37,2,100000.0,60000,,,3,-2,3,1,2,3,1993.0,1993.0,0.0,1,4,1,,5,3,-8,1,1961.0,9.0,2.0,80000.0,1.0,1.0,3.0,1.0,2,3.0,3.0,3,0,2,2,2015/7/30 11:09,1,4,105,1,3.0,3.0,1.0,30.0,726.0,48,1,6,33,20,1
1960,2,75,4,4,4,2,115,0,4,6,,4.0,-2.0,2,-2,-8,1,2,15600.0,1,2,24.2,1,3.0,4,4,173,1,2,2.0,38,2,3000.0,15600,,,2,1938,3,1,4,6,-3.0,,0.0,1,4,1,,26,3,1,1,,,,,,,,,2,3.0,2.0,3,1,2,3,2015/8/7 10:27,1,4,135,1,3.0,4.0,1.0,30.0,580.0,5,1,6,45,16,1
1971,1,77,8,8,5,3,117,1,5,10,,4.0,1991.0,4,-2,4,1,16,-3.0,4,3,180.0,2,5.0,4,5,160,1,5,2.0,39,2,50000.0,-3,,,3,-2,4,1,2,3,1996.0,1996.0,2.0,1,2,1,,27,4,1,1,1972.0,3.0,1.0,-3.0,1.0,4.0,,,2,2.0,2.0,4,1,1,2,2015/7/21 16:43,1,4,120,5,,,,,710.0,47,1,7,34,10,2
1960,2,81,4,2,1,1,123,2,4,3,,4.0,-2.0,4,-2,-8,1,2,35000.0,2,3,180.0,2,4.0,5,4,160,1,5,1.0,40,2,40000.0,15000,,,4,-2,-8,1,2,3,1981.0,1981.0,0.0,1,4,1,,28,4,1,1,1957.0,6.0,4.0,20000.0,1.0,1.0,3.0,1.0,2,5.0,2.0,2,0,1,2,2015/7/29 10:15,1,4,105,1,3.0,3.0,1.0,15.0,710.0,52,1,6,45,19,3
1973,2,2,6,6,6,6,9,1,3,4,,2.0,1989.0,4,-2,1,1,16,35000.0,4,3,300.0,2,4.0,4,3,169,1,1,1.0,41,2,20000.0,12000,,,3,-2,1,1,2,3,1993.0,1993.0,1.0,8,5,1,,2,3,0,3,1968.0,6.0,2.0,10000.0,1.0,1.0,3.0,1.0,1,3.0,3.0,3,1,2,2,2015/7/23 16:43,2,3,120,1,4.0,8.0,1.0,26.0,630.0,59,1,6,41,16,1
1959,2,70,4,5,2,1,110,1,3,4,,4.0,1978.0,4,1928,3,1,2,10000.0,2,2,15.0,1,4.0,3,3,160,1,1,1.0,42,2,100000.0,10000,,,2,1930,1,1,2,7,1980.0,,1.0,1,5,1,,24,3,1,3,,,,,,,,,4,7.0,3.0,3,1,3,2,2015/8/3 9:12,2,3,122,3,,,,,720.0,40,1,7,48,15,1
1969,2,28,4,4,3,3,51,0,4,4,,4.0,1985.0,4,1922,2,1,1,30000.0,4,2,90.0,2,4.0,3,3,162,1,1,1.0,43,2,50000.0,20000,,,1,1931,1,1,2,3,1994.0,1994.0,0.0,1,4,1,,10,5,1,1,1969.0,6.0,1.0,10000.0,1.0,1.0,3.0,2.0,2,2.0,2.0,4,1,2,2,2015/7/28 12:08,2,4,115,2,,,,,610.0,7,1,7,45,14,1
1984,2,7,5,7,5,5,21,1,5,4,,4.0,-2.0,1,-2,3,1,11,20000.0,4,2,56.0,2,5.0,3,5,159,1,2,1.0,44,2,50000.0,10000,,,1,1958,4,1,1,3,-2.0,-2.0,2.0,1,4,1,,4,5,1,1,1984.0,6.0,2.0,0.0,1.0,5.0,,,1,,,1,1,1,2,2015/9/24 19:21,1,3,115,1,3.0,3.0,1.0,4.0,860.0,38,1,7,38,14,1
1997,1,82,4,9,4,7,125,0,5,6,,4.0,2015.0,1,1975,3,1,8,60000.0,4,3,126.0,2,5.0,5,5,160,1,1,2.0,45,-8,-2.0,0,,,3,1978,3,1,15,1,,,,1,2,2,,29,4,1,1,,,,,,,,,1,3.0,3.0,4,0,2,2,2015/7/20 19:37,1,2,112,6,,,,,690.0,29,1,8,31,15,1
1993,2,31,3,5,2,3,54,0,3,12,,1.0,2012.0,3,1969,12,4,1,70000.0,4,3,200.0,2,4.0,4,3,167,1,2,1.0,46,-8,100000.0,3000,,,4,1970,6,1,15,1,,,,1,4,2,,11,3,1,1,,,,,,,,,6,5.0,5.0,3,0,2,2,2015/7/19 16:28,1,3,120,6,,,,,635.0,30,1,6,35,19,1
1993,2,50,3,9,2,2,83,0,4,4,,4.0,2009.0,4,1968,4,1,12,80000.0,3,2,200.0,1,4.0,5,5,170,1,1,1.0,47,2,100000.0,55000,,,4,1972,3,1,12,1,,,,1,2,2,,17,3,1,1,,,,,,,,,1,6.0,6.0,3,0,1,3,2015/7/28 9:36,2,2,125,1,4.0,2.0,2.0,5.0,640.0,40,1,7,40,17,1
1955,2,8,5,5,5,6,24,0,4,1,,,,4,1933,1,1,2,10000.0,3,3,65.0,2,4.0,4,4,160,1,1,1.0,48,2,8000.0,5000,,,2,1935,1,1,15,3,1978.0,1978.0,0.0,1,5,1,,5,4,1,1,1955.0,1.0,1.0,5000.0,1.0,2.0,,,3,2.0,1.0,4,2,2,2,2015/8/6 9:00,2,3,125,2,,,,,835.0,54,1,6,47,10,2
1951,2,48,4,5,3,3,80,2,5,3,,4.0,1963.0,4,-2,2,1,2,110000.0,5,3,97.0,1,5.0,5,5,175,1,1,1.0,49,2,20000.0,20000,,,3,-2,1,1,2,3,1976.0,1976.0,0.0,1,5,1,,17,3,1,1,1952.0,3.0,1.0,4200.0,1.0,1.0,3.0,1.0,1,7.0,7.0,2,1,1,1,2015/7/27 17:51,1,4,125,1,3.0,3.0,1.0,16.0,750.0,54,1,6,46,16,1
1961,2,39,5,5,5,2,70,0,4,4,,4.0,1978.0,1,-2,-8,1,2,30000.0,2,3,50.0,1,3.0,5,4,170,1,2,1.0,50,3,100000.0,15000,,,2,-2,-8,1,2,3,1984.0,1984.0,0.0,1,5,1,,15,3,1,1,1961.0,6.0,2.0,15000.0,2.0,5.0,,,1,3.0,3.0,2,1,2,2,2015/7/11 16:10,1,3,130,1,3.0,3.0,1.0,30.0,508.0,15,1,6,53,12,2
1933,2,32,5,5,-8,-8,56,3,5,1,,,,4,-2,4,1,1,-2.0,2,3,100.0,2,4.0,4,4,155,10,5,1.0,51,2,48000.0,48000,,,1,-2,3,1,1,7,-2.0,,0.0,1,4,1,,12,5,1,1,,,,,,,,,1,1.0,1.0,4,0,1,3,2015/7/29 17:58,1,4,100,5,,,,,440.0,-38,1,6,52,12,1
1984,2,24,1,4,1,1,46,0,4,4,,4.0,1998.0,5,1955,6,4,3,60000.0,3,3,160.0,1,5.0,4,5,186,1,1,1.0,52,2,60000.0,30000,,,1,1955,1,1,2,3,2007.0,2007.0,1.0,1,3,1,,10,4,1,3,1985.0,4.0,1.0,30000.0,1.0,1.0,6.0,1.0,1,,,1,1,2,2,2015/7/28 15:40,1,4,170,1,2.0,2.0,1.0,16.0,740.0,63,1,6,51,11,1
1997,1,7,10,10,10,10,20,0,4,6,,1.0,2013.0,-8,1968,12,1,10,-2.0,3,5,60.0,1,5.0,4,4,170,-2,2,3.0,53,-8,1000000.0,0,,,5,1970,13,1,1,1,,,,1,4,2,,4,5,1,1,,,,,,,,,1,3.0,3.0,4,0,2,1,2015/10/18 14:58,1,-8,120,6,,,,,-18.0,-1,4,7,42,12,1
1985,1,8,5,6,3,3,23,1,5,10,,4.0,-2.0,4,1958,7,1,-8,100000.0,5,4,90.0,1,4.0,4,5,180,1,2,3.0,54,2,100000.0,80000,,,3,1955,3,1,-8,3,2009.0,2009.0,1.0,1,4,1,,5,3,1,1,1985.0,10.0,2.0,20000.0,1.0,1.0,3.0,1.0,1,3.0,7.0,2,0,1,2,2015/7/31 12:45,1,3,150,1,2.0,3.0,1.0,5.0,520.0,30,1,6,29,12,1
1944,2,89,5,-8,2,6,134,1,5,4,,4.0,1961.0,3,-2,1,1,2,30000.0,2,3,34.0,2,4.0,3,4,160,1,2,1.0,55,-8,10000.0,12000,,,1,-2,1,1,2,3,-2.0,-2.0,0.0,1,2,1,,31,5,1,1,1943.0,4.0,2.0,15000.0,1.0,5.0,,,1,,,1,2,1,3,2015/9/14 12:07,1,-8,140,5,,,,,86.0,-2,1,6,54,9,1
1950,2,11,5,4,6,5,27,0,5,4,,4.0,1966.0,3,1925,2,1,1,600000.0,2,3,40.0,1,4.0,3,5,170,1,2,3.0,56,1,30000.0,30000,,,2,1925,1,1,15,3,1974.0,1974.0,0.0,1,4,1,,5,4,0,1,1952.0,4.0,2.0,30000.0,1.0,1.0,3.0,1.0,2,5.0,7.0,2,2,2,2,2015/7/27 13:13,1,5,160,5,,,,,900.0,-19,1,6,42,17,1
1954,2,18,6,5,4,2,38,1,4,10,,4.0,1982.0,3,-2,2,1,11,63600.0,2,3,57.0,2,4.0,4,4,160,1,2,1.0,57,3,50000.0,24000,,1989.0,2,-2,2,1,15,3,1982.0,1982.0,0.0,1,3,4,,7,4,1,1,1952.0,8.0,2.0,39600.0,1.0,5.0,,,1,,,1,0,1,1,2015/8/7 17:03,1,4,130,5,,,,,760.0,-14,1,6,45,15,1
1965,2,42,6,7,4,3,73,0,5,4,,4.0,1981.0,2,1933,1,1,2,75000.0,1,3,100.0,2,4.0,4,5,158,1,1,1.0,58,2,13000.0,3600,,,1,1933,1,1,2,3,1989.0,1989.0,0.0,1,5,1,,15,5,1,1,1967.0,4.0,1.0,30000.0,1.0,1.0,4.0,1.0,1,3.0,1.0,5,1,2,2,2015/7/11 9:04,1,3,125,2,,,,,520.0,51,1,7,38,12,2
1982,2,69,3,3,1,2,109,1,3,3,,4.0,1995.0,3,1953,4,1,2,5000.0,3,2,333.0,2,4.0,2,3,157,1,1,1.0,59,2,10000.0,2500,,,2,1962,1,1,2,3,1998.0,1998.0,2.0,1,5,1,,23,4,0,3,1987.0,1.0,1.0,2500.0,1.0,1.0,5.0,1.0,1,,,1,1,1,3,2015/9/25 18:24,2,3,130,3,,,,,820.0,29,1,6,53,13,3
1969,2,55,5,7,5,2,89,1,5,4,,4.0,1985.0,2,1945,6,1,2,50000.0,5,2,120.0,1,4.0,5,5,175,1,1,1.0,60,2,55000.0,35000,,1988.0,3,1948,3,1,2,3,1992.0,1992.0,1.0,1,5,4,,18,3,0,4,1968.0,3.0,1.0,0.0,1.0,3.0,,,1,3.0,1.0,4,1,2,2,2015/7/24 11:20,2,4,175,2,,,,,300.0,30,1,6,45,14,1
